Point{id=id435, cat=RESTAURANT, lat=-34.004209815495756, lon=145.54649867611792}
Point{id=id904, cat=RESTAURANT, lat=-34.081327447502595, lon=148.6289769683419}
Point{id=id884, cat=RESTAURANT, lat=-34.09200154787653, lon=147.49686097616143}
Point{id=id1224, cat=RESTAURANT, lat=-34.06273563444791, lon=149.5804900976764}
Point{id=id86, cat=RESTAURANT, lat=-34.09093938352383, lon=146.3221652770167}
Point{id=id639, cat=RESTAURANT, lat=-34.09247247759659, lon=149.06339524816184}
Point{id=id754, cat=RESTAURANT, lat=-34.18482015135091, lon=146.77181544325367}
Point{id=id1154, cat=RESTAURANT, lat=-34.09792374576473, lon=143.14350620787482}
Point{id=id249, cat=RESTAURANT, lat=-34.21565400825157, lon=148.83017217785275}
Point{id=id48, cat=RESTAURANT, lat=-34.215738221859084, lon=145.8061134385451}

		Search Time = 0.004813914 sec

