Point{id=id1247, cat=RESTAURANT, lat=-34.01092844866395, lon=148.9322873730226}
Point{id=id911, cat=RESTAURANT, lat=-34.02729856943554, lon=148.53532958221479}
Point{id=id1349, cat=RESTAURANT, lat=-34.04157087906721, lon=148.042605960554}
Point{id=id85, cat=RESTAURANT, lat=-34.02536537982648, lon=144.9418007586598}
Point{id=id780, cat=RESTAURANT, lat=-34.05130645707744, lon=149.43207346341745}
Point{id=id951, cat=RESTAURANT, lat=-34.11373792132809, lon=148.2168415762469}
Point{id=id348, cat=RESTAURANT, lat=-34.12465667336844, lon=147.06984130824483}
Point{id=id1124, cat=RESTAURANT, lat=-34.07476180283202, lon=144.32742529861778}
Point{id=id1435, cat=RESTAURANT, lat=-34.14741114579691, lon=148.72665943397362}
Point{id=id352, cat=RESTAURANT, lat=-34.13709064767052, lon=145.15530270403482}

		Search Time = 0.004735563 sec

